course,category,institution,type,skills,personality,inclination
Landscape Architecture,Built Environment & Architecture,Post secondary,Polytechnic Diploma,"Adaptability, Critical Thinking, Learning",Conscientiousness,Investigative
Accountancy,"Business, Finance & Management",Post secondary,Polytechnic Diploma,"Accounting, Attention to Detail, Financial Analysis, Numerical Skills",Extraversion,Enterprising
Banking & Finance,"Business, Finance & Management",Post secondary,Polytechnic Diploma,"Accounting, Attention to Detail, Financial Analysis, Numerical Skills",Conscientiousness,Enterprising
Business Administration,"Business, Finance & Management",Post secondary,Polytechnic Diploma,"Business Management, Decision Making, Leadership, Strategic Planning",Extraversion,Enterprising
Common Business Programme,"Business, Finance & Management",Post secondary,Polytechnic Diploma,"Business Management, Decision Making, Leadership, Strategic Planning",Extraversion,Enterprising
Human Resource Management with Psychology,"Business, Finance & Management",Post secondary,Polytechnic Diploma,"Business Management, Decision Making, Leadership, Strategic Planning",Agreeableness,Social
Aeronautical Engineering,Engineering & Technology,Post secondary,Polytechnic Diploma,"Engineering Design, Mathematical Skills, Problem Solving, Technical Drawing",Conscientiousness,Realistic
Aerospace Electronics,Engineering & Technology,Post secondary,Polytechnic Diploma,"Engineering Design, Mathematical Skills, Problem Solving, Technical Drawing",Conscientiousness,Realistic
Common Engineering Programme,Engineering & Technology,Post secondary,Polytechnic Diploma,"Engineering Design, Mathematical Skills, Problem Solving, Technical Drawing",Conscientiousness,Realistic
Computer Engineering,Engineering & Technology,Post secondary,Polytechnic Diploma,"Engineering Design, Mathematical Skills, Problem Solving, Technical Drawing",Conscientiousness,Realistic
Electrical & Electronic Engineering,Engineering & Technology,Post secondary,Polytechnic Diploma,"Engineering Design, Mathematical Skills, Problem Solving, Technical Drawing",Conscientiousness,Realistic
Engineering with Business,Engineering & Technology,Post secondary,Polytechnic Diploma,"Business Management, Decision Making, Engineering Design, Leadership, Mathematical Skills, Problem Solving, Strategic Planning, Technical Drawing",Conscientiousness,Enterprising
Mechanical Engineering,Engineering & Technology,Post secondary,Polytechnic Diploma,"Engineering Design, Mathematical Skills, Problem Solving, Technical Drawing",Conscientiousness,Realistic
Mechatronics & Robotics,Engineering & Technology,Post secondary,Polytechnic Diploma,"Automation, Engineering, Problem Solving, Programming, Robotics, Systems Integration",Conscientiousness,Realistic
Optometry,Healthcare & Medical Sciences,Post secondary,Polytechnic Diploma,"Adaptability, Critical Thinking, Learning",Agreeableness,Social
Applied AI Analytics,Computing & IT,Post secondary,Polytechnic Diploma,"AI/ML, Algorithm Design, Critical Thinking, Data Analysis, Data Visualization, Logical Thinking, Mathematical Modeling, Problem Solving, Programming, Research, Statistical Analysis",Conscientiousness,Investigative
Common ICT Programme,Computing & IT,Post secondary,Polytechnic Diploma,"Logical Thinking, Problem Solving, Technical Skills",Conscientiousness,Investigative
Cybersecurity & Digital Forensics,Computing & IT,Post secondary,Polytechnic Diploma,"Cybersecurity, Problem Solving, Risk Assessment, Technical Analysis",Conscientiousness,Investigative
Information Technology,Computing & IT,Post secondary,Polytechnic Diploma,"Logical Thinking, Problem Solving, Technical Skills",Conscientiousness,Investigative
Marine Engineering,Engineering & Technology,Post secondary,Polytechnic Diploma,"Engineering Design, Mathematical Skills, Problem Solving, Technical Drawing",Conscientiousness,Realistic
Maritime Business,"Business, Finance & Management",Post secondary,Polytechnic Diploma,"Business Management, Decision Making, Leadership, Strategic Planning",Extraversion,Enterprising
Interior Design,"Arts, Design & Visual Arts",Post secondary,Polytechnic Diploma,"Client Management, Creativity, Design, Design Thinking, Software Proficiency, Spatial Reasoning, Visual Communication",Openness,Artistic
"Media, Arts & Design","Arts, Design & Visual Arts",Post secondary,Polytechnic Diploma,"Artistic Expression, Attention to Detail, CAD Design, Communication, Creativity, Design Thinking, Media Production, Observation, Research, Software Proficiency, Spatial Reasoning, Technical Drawing, Visual Arts, Visual Communication, Writing",Openness,Artistic
Biomedical Science,STEM - Science & Mathematics,Post secondary,Polytechnic Diploma,"Analytical Thinking, Biology, Communication, Empathy, Laboratory Skills, Medical Knowledge, Observation, Patient Care, Research, Scientific Method",Conscientiousness,Investigative
Biotechnology,STEM - Science & Mathematics,Post secondary,Polytechnic Diploma,"Biology, Laboratory Skills, Research, Scientific Method",Conscientiousness,Investigative
Applied Chemistry,STEM - Science & Mathematics,Post secondary,Polytechnic Diploma,"Algorithm Design, Analytical Skills, Chemistry, Laboratory Skills, Logical Thinking, Problem Solving, Programming, Scientific Method",Conscientiousness,Investigative
Pharmaceutical Science,STEM - Science & Mathematics,Post secondary,Polytechnic Diploma,"Analytical Skills, Analytical Thinking, Chemistry, Laboratory Skills, Observation, Research, Scientific Method",Conscientiousness,Investigative
Common Science Programme,STEM - Science & Mathematics,Post secondary,Polytechnic Diploma,"Analytical Thinking, Observation, Research, Scientific Method",Conscientiousness,Investigative
Environmental & Marine Science,STEM - Science & Mathematics,Post secondary,Polytechnic Diploma,"Analytical Thinking, Observation, Research, Scientific Method",Conscientiousness,Investigative
Biological Sciences,STEM - Science & Mathematics,Post secondary,Polytechnic Diploma,"Analytical Thinking, Observation, Research, Scientific Method",Conscientiousness,Investigative
Supply Chain Management,"Business, Finance & Management",Post secondary,Polytechnic Diploma,"AI/ML, Business Management, Data Analysis, Decision Making, Leadership, Mathematical Modeling, Research, Strategic Planning",Extraversion,Enterprising
Aviation Management,"Business, Finance & Management",Post secondary,Polytechnic Diploma,"Business Management, Decision Making, Leadership, Strategic Planning",Extraversion,Enterprising
Aerospace Engineering,Engineering & Technology,Post secondary,Polytechnic Diploma,"Engineering Design, Mathematical Skills, Problem Solving, Technical Drawing",Conscientiousness,Realistic
Common Engineering Programme,Engineering & Technology,Post secondary,Polytechnic Diploma,"Engineering Design, Mathematical Skills, Problem Solving, Technical Drawing",Conscientiousness,Realistic
Electrical & Electronic Engineering,Engineering & Technology,Post secondary,Polytechnic Diploma,"Engineering Design, Mathematical Skills, Problem Solving, Technical Drawing",Conscientiousness,Realistic
Engineering System & Management,Engineering & Technology,Post secondary,Polytechnic Diploma,"Business Management, Decision Making, Engineering Design, Leadership, Mathematical Skills, Problem Solving, Strategic Planning, Technical Drawing",Conscientiousness,Enterprising
Engineering Design with Business,Engineering & Technology,Post secondary,Polytechnic Diploma,"Attention to Detail, Business Management, CAD Design, Creativity, Decision Making, Design Thinking, Engineering Design, Leadership, Mathematical Skills, Problem Solving, Software Proficiency, Spatial Reasoning, Strategic Planning, Technical Drawing, Visual Communication",Openness,Artistic
Sustainable Built Environment,Built Environment & Architecture,Post secondary,Polytechnic Diploma,"AI/ML, Data Analysis, Mathematical Modeling, Research",Openness,Investigative
Mobility & Robotic Systems,General/Core Subjects,Post secondary,Polytechnic Diploma,"Adaptability, Critical Thinking, Learning",Openness,Investigative
Engineering,Engineering & Technology,Post secondary,Polytechnic Diploma,"Engineering Design, Mathematical Skills, Problem Solving, Technical Drawing",Conscientiousness,Realistic
Business Process & Engineering Management,Engineering & Technology,Post secondary,Polytechnic Diploma,"Business Management, Decision Making, Engineering Design, Leadership, Mathematical Skills, Problem Solving, Strategic Planning, Technical Drawing",Conscientiousness,Enterprising
Customer Experience Management with Business,"Business, Finance & Management",Post secondary,Polytechnic Diploma,"Business Management, Decision Making, Leadership, Strategic Planning",Extraversion,Enterprising
Hotel & Hospitality Management,"Business, Finance & Management",Post secondary,Polytechnic Diploma,"Business Management, Communication, Customer Service, Decision Making, Leadership, Organization, Strategic Planning, Team Management",Extraversion,Social
Restaurant & Culinary Operations,"Business, Finance & Management",Post secondary,Polytechnic Diploma,"Attention to Detail, Communication, Creativity, Culinary Skills, Customer Service, Organization, Team Management, Time Management",Extraversion,Enterprising
Tourism Management with Technology,"Business, Finance & Management",Post secondary,Polytechnic Diploma,"Business Management, Communication, Customer Service, Decision Making, Leadership, Organization, Strategic Planning, Team Management",Extraversion,Enterprising
Events & Project Management,"Business, Finance & Management",Post secondary,Polytechnic Diploma,"Business Management, Decision Making, Leadership, Strategic Planning",Extraversion,Enterprising
Hospitality & Tourism Management,"Business, Finance & Management",Post secondary,Polytechnic Diploma,"Business Management, Communication, Customer Service, Decision Making, Leadership, Organization, Strategic Planning, Team Management",Extraversion,Social
Hotel & Leisure Management,"Business, Finance & Management",Post secondary,Polytechnic Diploma,"Business Management, Communication, Customer Service, Decision Making, Leadership, Organization, Strategic Planning, Team Management",Extraversion,Enterprising
Business Information Systems,Computing & IT,Post secondary,Polytechnic Diploma,"Business Management, Decision Making, Leadership, Strategic Planning",Conscientiousness,Enterprising
Financial Technology,General/Core Subjects,Post secondary,Polytechnic Diploma,"Adaptability, Critical Thinking, Learning",Openness,Investigative
Digital Design & Development,Computing & IT,Post secondary,Polytechnic Diploma,"Attention to Detail, CAD Design, Creativity, Design Thinking, Software Proficiency, Spatial Reasoning, Technical Drawing, Visual Communication",Openness,Artistic
Infocomm Security Management,Computing & IT,Post secondary,Polytechnic Diploma,"Business Management, Cybersecurity, Decision Making, Leadership, Problem Solving, Risk Assessment, Strategic Planning, Technical Analysis",Conscientiousness,Enterprising
Common ICT Programme,Computing & IT,Post secondary,Polytechnic Diploma,"Logical Thinking, Problem Solving, Technical Skills",Conscientiousness,Investigative
Applied AI & Analytics,Computing & IT,Post secondary,Polytechnic Diploma,"AI/ML, Algorithm Design, Critical Thinking, Data Analysis, Data Visualization, Logical Thinking, Mathematical Modeling, Problem Solving, Programming, Research, Statistical Analysis",Conscientiousness,Investigative
Information Technology,Computing & IT,Post secondary,Polytechnic Diploma,"Logical Thinking, Problem Solving, Technical Skills",Conscientiousness,Investigative
Cybersecurity & Digital Forensics,Computing & IT,Post secondary,Polytechnic Diploma,"Cybersecurity, Problem Solving, Risk Assessment, Technical Analysis",Conscientiousness,Investigative
Enterprise Cloud Computing & Management,Computing & IT,Post secondary,Polytechnic Diploma,"Algorithm Design, Business Management, Decision Making, Leadership, Logical Thinking, Network Management, Problem Solving, Programming, Strategic Planning, Systems Administration, Technical Support, Troubleshooting",Conscientiousness,Enterprising
Outdoor & Adventure Learning,General/Core Subjects,Post secondary,Polytechnic Diploma,"Adaptability, Critical Thinking, Learning",Openness,Investigative
Health Management & Promotion,"Business, Finance & Management",Post secondary,Polytechnic Diploma,"Business Management, Communication, Decision Making, Empathy, Leadership, Medical Knowledge, Patient Care, Strategic Planning",Extraversion,Enterprising
Health Services Management,"Business, Finance & Management",Post secondary,Polytechnic Diploma,"Business Management, Communication, Decision Making, Empathy, Leadership, Medical Knowledge, Patient Care, Strategic Planning",Extraversion,Enterprising
Sport Coaching,Healthcare & Medical Sciences,Post secondary,Polytechnic Diploma,"Coordination, Discipline, Physical Fitness, Teamwork",Agreeableness,Social
Sports & Health,Healthcare & Medical Sciences,Post secondary,Polytechnic Diploma,"Communication, Coordination, Discipline, Empathy, Medical Knowledge, Patient Care, Physical Fitness, Teamwork",Agreeableness,Social
Exercise & Sports Science,STEM - Science & Mathematics,Post secondary,Polytechnic Diploma,"Analytical Thinking, Coordination, Discipline, Observation, Physical Fitness, Research, Scientific Method, Teamwork",Conscientiousness,Investigative
Integrated Community Care,Healthcare & Medical Sciences,Post secondary,Polytechnic Diploma,"Adaptability, Critical Thinking, Learning",Agreeableness,Social
Consumer Behaviour & Research,"Business, Finance & Management",Post secondary,Polytechnic Diploma,"Business Acumen, Communication, Strategic Thinking",Extraversion,Investigative
Human Resource Management with Psychology,"Business, Finance & Management",Post secondary,Polytechnic Diploma,"Business Management, Decision Making, Leadership, Strategic Planning",Agreeableness,Social
Common Business Programme,"Business, Finance & Management",Post secondary,Polytechnic Diploma,"Business Management, Decision Making, Leadership, Strategic Planning",Extraversion,Enterprising
Business,"Business, Finance & Management",Post secondary,Polytechnic Diploma,"Business Management, Decision Making, Leadership, Strategic Planning",Extraversion,Enterprising
Consumer Insights & Psychology,Humanities & Social Sciences,Post secondary,Polytechnic Diploma,"Adaptability, Critical Thinking, Learning",Agreeableness,Social
Sonic Arts,"Arts, Design & Visual Arts",Post secondary,Polytechnic Diploma,"Artistic Expression, Creativity, Observation, Visual Arts",Openness,Artistic
Arts & Theatre Management,"Business, Finance & Management",Post secondary,Polytechnic Diploma,"Acting, Artistic Expression, Business Management, Creativity, Decision Making, Leadership, Observation, Performance, Public Speaking, Strategic Planning, Visual Arts",Openness,Artistic
Design for Games & Gamification,"Arts, Design & Visual Arts",Post secondary,Polytechnic Diploma,"Attention to Detail, CAD Design, Creativity, Design Thinking, Software Proficiency, Spatial Reasoning, Technical Drawing, Visual Communication",Openness,Artistic
Digital Content Creation,Computing & IT,Post secondary,Polytechnic Diploma,"Logical Thinking, Problem Solving, Technical Skills",Conscientiousness,Investigative
Arts & Entertainment Production Management,"Business, Finance & Management",Post secondary,Polytechnic Diploma,"AI/ML, Artistic Expression, Business Management, Creativity, Data Analysis, Decision Making, Leadership, Mathematical Modeling, Observation, Research, Strategic Planning, Visual Arts",Openness,Artistic
"Common Arts, Media & Design Programme","Arts, Design & Visual Arts",Post secondary,Polytechnic Diploma,"Artistic Expression, Attention to Detail, CAD Design, Communication, Creativity, Design Thinking, Media Production, Observation, Research, Software Proficiency, Spatial Reasoning, Technical Drawing, Visual Arts, Visual Communication, Writing",Openness,Artistic
Design,"Arts, Design & Visual Arts",Post secondary,Polytechnic Diploma,"Attention to Detail, CAD Design, Creativity, Design Thinking, Software Proficiency, Spatial Reasoning, Technical Drawing, Visual Communication",Openness,Artistic
Outdoor Education,Sports & Physical Education,Post secondary,Polytechnic Diploma,"Discipline, Physical Fitness, Teamwork",Agreeableness,Social
Common Business Programme,"Business, Finance & Management",Post secondary,Polytechnic Diploma,"Business Management, Decision Making, Leadership, Strategic Planning",Extraversion,Enterprising
Common Design Programme,"Arts, Design & Visual Arts",Post secondary,Polytechnic Diploma,"Attention to Detail, CAD Design, Creativity, Design Thinking, Software Proficiency, Spatial Reasoning, Technical Drawing, Visual Communication",Openness,Artistic
Common Engineering Programme,Engineering & Technology,Post secondary,Polytechnic Diploma,"Engineering Design, Mathematical Skills, Problem Solving, Technical Drawing",Conscientiousness,Realistic
Common ICT Programme,Computing & IT,Post secondary,Polytechnic Diploma,"Logical Thinking, Problem Solving, Technical Skills",Conscientiousness,Investigative
Common Science Programme,STEM - Science & Mathematics,Post secondary,Polytechnic Diploma,"Analytical Thinking, Observation, Research, Scientific Method",Conscientiousness,Investigative
Accounting & Finance,"Business, Finance & Management",Post secondary,Polytechnic Diploma,"Accounting, Attention to Detail, Financial Analysis, Numerical Skills",Conscientiousness,Enterprising
Aerospace Electronics,Engineering & Technology,Post secondary,Polytechnic Diploma,"Engineering Design, Mathematical Skills, Problem Solving, Technical Drawing",Conscientiousness,Realistic
Aerospace Engineering,Engineering & Technology,Post secondary,Polytechnic Diploma,"Engineering Design, Mathematical Skills, Problem Solving, Technical Drawing",Conscientiousness,Realistic
Applied Artificial Intelligence,Computing & IT,Post secondary,Polytechnic Diploma,"AI/ML, Algorithm Design, Artistic Expression, Creativity, Data Analysis, Logical Thinking, Mathematical Modeling, Observation, Problem Solving, Programming, Research, Visual Arts",Openness,Artistic
Architecture & Sustainable Design,"Arts, Design & Visual Arts",Post secondary,Polytechnic Diploma,"AI/ML, Attention to Detail, CAD Design, Creativity, Data Analysis, Design Thinking, Mathematical Modeling, Research, Software Proficiency, Spatial Reasoning, Technical Drawing, Visual Communication",Openness,Artistic
Applied Chemistry,STEM - Science & Mathematics,Post secondary,Polytechnic Diploma,"Algorithm Design, Analytical Skills, Chemistry, Laboratory Skills, Logical Thinking, Problem Solving, Programming, Scientific Method",Conscientiousness,Investigative
Applied Food Science & Nutrition,STEM - Science & Mathematics,Post secondary,Polytechnic Diploma,"Algorithm Design, Analytical Thinking, Attention to Detail, Creativity, Culinary Skills, Logical Thinking, Observation, Problem Solving, Programming, Research, Scientific Method, Time Management",Conscientiousness,Investigative
Big Data & Analytics,Computing & IT,Post secondary,Polytechnic Diploma,"Critical Thinking, Data Analysis, Data Visualization, Statistical Analysis",Conscientiousness,Investigative
Biomedical Engineering,Engineering & Technology,Post secondary,Polytechnic Diploma,"Biology, Communication, Empathy, Engineering Design, Laboratory Skills, Mathematical Skills, Medical Knowledge, Patient Care, Problem Solving, Research, Scientific Method, Technical Drawing",Conscientiousness,Investigative
Biomedical Science,STEM - Science & Mathematics,Post secondary,Polytechnic Diploma,"Analytical Thinking, Biology, Communication, Empathy, Laboratory Skills, Medical Knowledge, Observation, Patient Care, Research, Scientific Method",Conscientiousness,Investigative
Biotechnology,STEM - Science & Mathematics,Post secondary,Polytechnic Diploma,"Biology, Laboratory Skills, Research, Scientific Method",Conscientiousness,Investigative
Chemical Engineering,Engineering & Technology,Post secondary,Polytechnic Diploma,"Analytical Skills, Chemistry, Engineering Design, Laboratory Skills, Mathematical Skills, Problem Solving, Scientific Method, Technical Drawing",Conscientiousness,Realistic
Computer Engineering,Engineering & Technology,Post secondary,Polytechnic Diploma,"Engineering Design, Mathematical Skills, Problem Solving, Technical Drawing",Conscientiousness,Realistic
Electronics,Engineering & Technology,Post secondary,Polytechnic Diploma,"Engineering Skills, Problem Solving, Technical Knowledge",Conscientiousness,Realistic
Information Technology,Computing & IT,Post secondary,Polytechnic Diploma,"Logical Thinking, Problem Solving, Technical Skills",Conscientiousness,Investigative
Life Sciences,STEM - Science & Mathematics,Post secondary,Polytechnic Diploma,"Analytical Thinking, Biology, Laboratory Skills, Observation, Research, Scientific Method",Conscientiousness,Investigative
Mechatronics,Engineering & Technology,Post secondary,Polytechnic Diploma,"Automation, Programming, Robotics, Systems Integration",Conscientiousness,Realistic
Microelectronics,Engineering & Technology,Post secondary,Polytechnic Diploma,"Engineering Skills, Problem Solving, Technical Knowledge",Conscientiousness,Realistic
Business,"Business, Finance & Management",Post secondary,Polytechnic Diploma,"Business Management, Decision Making, Leadership, Strategic Planning",Extraversion,Enterprising
Culinary & Catering Management,"Business, Finance & Management",Post secondary,Polytechnic Diploma,"Attention to Detail, Business Management, Creativity, Culinary Skills, Decision Making, Leadership, Strategic Planning, Time Management",Extraversion,Enterprising
Early Childhood Development & Education,Education,Post secondary,Polytechnic Diploma,"Adaptability, Critical Thinking, Learning",Agreeableness,Social
Hotel & Hospitality Management,"Business, Finance & Management",Post secondary,Polytechnic Diploma,"Business Management, Communication, Customer Service, Decision Making, Leadership, Organization, Strategic Planning, Team Management",Extraversion,Social
Law & Management,"Business, Finance & Management",Post secondary,Polytechnic Diploma,"Business Management, Decision Making, Leadership, Strategic Planning",Conscientiousness,Enterprising
Leisure & Resort Management,"Business, Finance & Management",Post secondary,Polytechnic Diploma,"Business Management, Decision Making, Leadership, Strategic Planning",Extraversion,Enterprising
Retail Management,"Business, Finance & Management",Post secondary,Polytechnic Diploma,"AI/ML, Business Management, Data Analysis, Decision Making, Leadership, Mathematical Modeling, Research, Strategic Planning",Extraversion,Enterprising
Interactive Media Design,"Arts, Design & Visual Arts",Post secondary,Polytechnic Diploma,"Attention to Detail, CAD Design, Communication, Creativity, Design Thinking, Media Production, Research, Software Proficiency, Spatial Reasoning, Technical Drawing, Visual Communication, Writing",Openness,Artistic
Moving Images,Media & Communication,Post secondary,Polytechnic Diploma,"Adaptability, Critical Thinking, Learning",Openness,Artistic
Product & Industrial Design,"Arts, Design & Visual Arts",Post secondary,Polytechnic Diploma,"Creativity, Design Thinking, Software Proficiency, Visual Communication",Openness,Artistic
Visual Communication,"Arts, Design & Visual Arts",Post secondary,Polytechnic Diploma,"Communication, Creativity, Design Thinking, Media Production, Research, Software Proficiency, Visual Communication, Writing",Openness,Artistic
Environmental & Marine Science,STEM - Science & Mathematics,Post secondary,Polytechnic Diploma,"Analytical Thinking, Observation, Research, Scientific Method",Conscientiousness,Investigative
Veterinary Bioscience,STEM - Science & Mathematics,Post secondary,Polytechnic Diploma,"Analytical Thinking, Observation, Research, Scientific Method",Conscientiousness,Investigative
Integrated Facility Management,"Business, Finance & Management",Post secondary,Polytechnic Diploma,"Business Management, Decision Making, Leadership, Strategic Planning",Extraversion,Enterprising
Real Estate,"Business, Finance & Management",Post secondary,Polytechnic Diploma,"Business Acumen, Communication, Strategic Thinking",Extraversion,Enterprising
Accountancy,"Business, Finance & Management",Post secondary,ITE Higher Nitec,"Accounting, Attention to Detail, Financial Analysis, Numerical Skills",Extraversion,Enterprising
Airport Operations,General/Core Subjects,Post secondary,ITE Higher Nitec,"AI/ML, Data Analysis, Mathematical Modeling, Research",Openness,Conventional
Community Engagement & Development,General/Core Subjects,Post secondary,ITE Higher Nitec,"Adaptability, Critical Thinking, Learning",Agreeableness,Social
Culinary Arts & Management,"Business, Finance & Management",Post secondary,ITE Higher Nitec,"Artistic Expression, Attention to Detail, Business Management, Creativity, Culinary Skills, Decision Making, Leadership, Observation, Strategic Planning, Time Management, Visual Arts",Openness,Artistic
Customer Experience Management (Aviation Services),"Business, Finance & Management",Post secondary,ITE Higher Nitec,"Business Management, Decision Making, Leadership, Strategic Planning",Extraversion,Enterprising
Customer Experience Management (Cabin Services),"Business, Finance & Management",Post secondary,ITE Higher Nitec,"Business Management, Decision Making, Leadership, Strategic Planning",Extraversion,Enterprising
Customer Experience Management (Lifestyle & Consumer),"Business, Finance & Management",Post secondary,ITE Higher Nitec,"Business Management, Decision Making, Leadership, Strategic Planning",Extraversion,Enterprising
E-Commerce & Retail,"Business, Finance & Management",Post secondary,ITE Higher Nitec,"AI/ML, Data Analysis, Mathematical Modeling, Research",Extraversion,Enterprising
Event Management,"Business, Finance & Management",Post secondary,ITE Higher Nitec,"Business Management, Decision Making, Leadership, Strategic Planning",Extraversion,Enterprising
Fitness Management,"Business, Finance & Management",Post secondary,ITE Higher Nitec,"Business Management, Decision Making, Leadership, Strategic Planning",Extraversion,Enterprising
Hotel & Restaurant Management,"Business, Finance & Management",Post secondary,ITE Higher Nitec,"Business Management, Communication, Customer Service, Decision Making, Leadership, Organization, Strategic Planning, Team Management",Extraversion,Enterprising
Human Resource Management,"Business, Finance & Management",Post secondary,ITE Higher Nitec,"Business Management, Decision Making, Leadership, Strategic Planning",Extraversion,Social
Lifestyle & Recreation Management,"Business, Finance & Management",Post secondary,ITE Higher Nitec,"Business Management, Decision Making, Leadership, Strategic Planning",Extraversion,Enterprising
Logistics & Supply Chain Management,"Business, Finance & Management",Post secondary,ITE Higher Nitec,"AI/ML, Business Management, Data Analysis, Decision Making, Leadership, Mathematical Modeling, Research, Strategic Planning",Extraversion,Enterprising
Patient Management & Services,"Business, Finance & Management",Post secondary,ITE Higher Nitec,"Business Management, Communication, Decision Making, Empathy, Leadership, Medical Knowledge, Patient Care, Strategic Planning",Agreeableness,Enterprising
Security Operations,Security & Safety,Post secondary,ITE Higher Nitec,"Cybersecurity, Problem Solving, Risk Assessment, Technical Analysis",Openness,Conventional
Tourism Management,"Business, Finance & Management",Post secondary,ITE Higher Nitec,"Business Management, Communication, Customer Service, Decision Making, Leadership, Organization, Strategic Planning, Team Management",Extraversion,Enterprising
Sport Management,"Business, Finance & Management",Post secondary,ITE Higher Nitec,"Business Management, Coordination, Decision Making, Discipline, Leadership, Physical Fitness, Strategic Planning, Teamwork",Extraversion,Enterprising
Beauty & Wellness Management,"Business, Finance & Management",Post secondary,ITE Higher Nitec,"Business Management, Decision Making, Leadership, Strategic Planning",Extraversion,Enterprising
Hairdressing & Salon Management,"Business, Finance & Management",Post secondary,ITE Higher Nitec,"AI/ML, Business Management, Data Analysis, Decision Making, Leadership, Mathematical Modeling, Research, Strategic Planning",Extraversion,Enterprising
Floristry,Beauty & Wellness,Post secondary,ITE Higher Nitec,"Adaptability, Critical Thinking, Learning",Openness,Investigative
Agriculture & Aquaculture Technology,General/Core Subjects,Post secondary,ITE Higher Nitec,"Adaptability, Critical Thinking, Learning",Openness,Realistic
Aircraft Cabin Engineering,Engineering & Technology,Post secondary,ITE Higher Nitec,"AI/ML, Data Analysis, Engineering Design, Mathematical Modeling, Mathematical Skills, Problem Solving, Research, Technical Drawing",Conscientiousness,Realistic
Aircraft Engine Maintenance,Engineering & Technology,Post secondary,ITE Higher Nitec,"AI/ML, Data Analysis, Mathematical Modeling, Research",Conscientiousness,Realistic
Aircraft Maintenance Engineering,Engineering & Technology,Post secondary,ITE Higher Nitec,"AI/ML, Data Analysis, Engineering Design, Mathematical Modeling, Mathematical Skills, Problem Solving, Research, Technical Drawing",Conscientiousness,Realistic
Arboriculture & Horticulture,Engineering & Technology,Post secondary,ITE Higher Nitec,"Engineering Skills, Problem Solving, Technical Knowledge",Conscientiousness,Realistic
Architectural BIM & Design,"Arts, Design & Visual Arts",Post secondary,ITE Higher Nitec,"Attention to Detail, CAD Design, Creativity, Design Thinking, Software Proficiency, Spatial Reasoning, Technical Drawing, Visual Communication",Openness,Artistic
Architectural Technology,Built Environment & Architecture,Post secondary,ITE Higher Nitec,"Adaptability, Critical Thinking, Learning",Openness,Investigative
Automation Engineering,Engineering & Technology,Post secondary,ITE Higher Nitec,"Automation, Engineering Design, Mathematical Skills, Problem Solving, Programming, Robotics, Systems Integration, Technical Drawing",Conscientiousness,Realistic
Automotive Technology,Engineering & Technology,Post secondary,ITE Higher Nitec,"Engineering Skills, Problem Solving, Technical Knowledge",Conscientiousness,Realistic
Bio-Chemical Technology,STEM - Science & Mathematics,Post secondary,ITE Higher Nitec,"Analytical Skills, Chemistry, Laboratory Skills, Scientific Method",Conscientiousness,Investigative
Chemical Process Technology,STEM - Science & Mathematics,Post secondary,ITE Higher Nitec,"Analytical Skills, Chemistry, Laboratory Skills, Scientific Method",Conscientiousness,Investigative
Civil & Structural Engineering Design,Engineering & Technology,Post secondary,ITE Higher Nitec,"Attention to Detail, CAD Design, Creativity, Design Thinking, Engineering Design, Mathematical Skills, Problem Solving, Software Proficiency, Spatial Reasoning, Technical Drawing, Visual Communication",Openness,Artistic
Electrical Engineering,Engineering & Technology,Post secondary,ITE Higher Nitec,"Engineering Design, Mathematical Skills, Problem Solving, Technical Drawing",Conscientiousness,Realistic
Facilities Management & Engineering,Engineering & Technology,Post secondary,ITE Higher Nitec,"Business Management, Decision Making, Engineering Design, Leadership, Mathematical Skills, Problem Solving, Strategic Planning, Technical Drawing",Conscientiousness,Enterprising
Integrated Mechanical & Electrical Design,Engineering & Technology,Post secondary,ITE Higher Nitec,"Attention to Detail, CAD Design, Creativity, Design Thinking, Engineering Design, Mathematical Skills, Problem Solving, Software Proficiency, Spatial Reasoning, Technical Drawing, Visual Communication",Openness,Artistic
Land Transport Engineering (Rail),Engineering & Technology,Post secondary,ITE Higher Nitec,"AI/ML, Coordination, Data Analysis, Discipline, Engineering Design, Mathematical Modeling, Mathematical Skills, Physical Fitness, Problem Solving, Research, Teamwork, Technical Drawing",Conscientiousness,Realistic
Land Transport Engineering (Operations Management),Engineering & Technology,Post secondary,ITE Higher Nitec,"Business Management, Coordination, Decision Making, Discipline, Engineering Design, Leadership, Mathematical Skills, Physical Fitness, Problem Solving, Strategic Planning, Teamwork, Technical Drawing",Conscientiousness,Enterprising
Land Transport Engineering (Vehicle),Engineering & Technology,Post secondary,ITE Higher Nitec,"Coordination, Discipline, Engineering Design, Mathematical Skills, Physical Fitness, Problem Solving, Teamwork, Technical Drawing",Conscientiousness,Realistic
Marine & Offshore Engineering (Engineering Design),Engineering & Technology,Post secondary,ITE Higher Nitec,"Attention to Detail, CAD Design, Creativity, Design Thinking, Engineering Design, Mathematical Skills, Problem Solving, Software Proficiency, Spatial Reasoning, Technical Drawing, Visual Communication",Openness,Artistic
Marine & Offshore Engineering (Production),Engineering & Technology,Post secondary,ITE Higher Nitec,"Engineering Design, Mathematical Skills, Problem Solving, Technical Drawing",Conscientiousness,Realistic
Mechanical & Electrical Services Supervision,Engineering & Technology,Post secondary,ITE Higher Nitec,"Engineering Design, Mathematical Skills, Problem Solving, Technical Drawing",Conscientiousness,Realistic
